2021-10-31T18:06:03.161Z | INFO  | o-8080-exec-4 | rectReplyToMessageListenerContainer | doConsumeFromQueue       : [{UUID=53E4E094-DFA5-4A9F-82D2-9898B5F74E0F}] SimpleConsumer [queue=amq.rabbitmq.reply-to, index=0, consumerTag=amq.ctag-WjZfzFEwVaurtKYTKh1D-w identity=56672bc9] started
2021-10-31T18:06:08.181Z | INFO  | o-8080-exec-5 | c.w.r.c.CalculatorController        | subOperation             : [{UUID=FCAA184A-9A21-4362-9135-A3BF7B764B2B}] oi
2021-10-31T18:06:29.215Z | INFO  | o-8080-exec-6 | c.w.r.c.CalculatorController        | subOperation             : [{UUID=3843946E-0B35-4365-935B-02C0147D2257}] oi
2021-10-31T18:06:33.477Z | INFO  | o-8080-exec-7 | c.w.r.c.CalculatorController        | subOperation             : [{UUID=37C763BE-B184-48C3-8B0D-F5C8AD6DC815}] oi
2021-10-31T18:10:20.704Z | INFO  | nShutdownHook | rectReplyToMessageListenerContainer | doShutdown               : [{}] Successfully waited for consumers to finish.
2021-10-31T18:10:23.805Z | INFO  |          main | c.w.r.RestApplication               | logStarting              : [{}] Starting RestApplication using Java 15.0.2 on Cat with PID 11212 (C:\Users\marti\Documents\wit_desafio\rest\build\classes\java\main started by marti in C:\Users\marti\Documents\wit_desafio\rest)
2021-10-31T18:10:23.818Z | INFO  |          main | c.w.r.RestApplication               | logStartupProfileInfo    : [{}] No active profile set, falling back to default profiles: default
2021-10-31T18:10:24.525Z | INFO  |          main | o.s.b.w.e.t.TomcatWebServer         | initialize               : [{}] Tomcat initialized with port(s): 8080 (http)
2021-10-31T18:10:24.525Z | INFO  |          main | o.a.c.h.Http11NioProtocol           | log                      : [{}] Initializing ProtocolHandler ["http-nio-8080"]
2021-10-31T18:10:24.541Z | INFO  |          main | o.a.c.c.StandardService             | log                      : [{}] Starting service [Tomcat]
2021-10-31T18:10:24.541Z | INFO  |          main | o.a.c.c.StandardEngine              | log                      : [{}] Starting Servlet engine: [Apache Tomcat/9.0.54]
2021-10-31T18:10:24.603Z | INFO  |          main | o.a.c.c.C.[.[.[/]                   | log                      : [{}] Initializing Spring embedded WebApplicationContext
2021-10-31T18:10:24.603Z | INFO  |          main | .ServletWebServerApplicationContext | prepareWebApplicationContext: [{}] Root WebApplicationContext: initialization completed in 755 ms
2021-10-31T18:10:24.619Z | INFO  |          main | o.s.b.w.s.RegistrationBean          | register                 : [{}] Filter loggerFilter was not registered (possibly already registered?)
2021-10-31T18:10:24.978Z | INFO  |          main | o.a.c.h.Http11NioProtocol           | log                      : [{}] Starting ProtocolHandler ["http-nio-8080"]
2021-10-31T18:10:24.994Z | INFO  |          main | o.s.b.w.e.t.TomcatWebServer         | start                    : [{}] Tomcat started on port(s): 8080 (http) with context path ''
2021-10-31T18:10:25.010Z | INFO  |          main | c.w.r.RestApplication               | logStarted               : [{}] Started RestApplication in 1.444 seconds (JVM running for 2.354)
2021-10-31T18:10:45.817Z | INFO  | o-8080-exec-1 | o.a.c.c.C.[.[.[/]                   | log                      : [{}] Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-10-31T18:10:45.818Z | INFO  | o-8080-exec-1 | o.s.w.s.DispatcherServlet           | initServletBean          : [{}] Initializing Servlet 'dispatcherServlet'
2021-10-31T18:10:45.819Z | INFO  | o-8080-exec-1 | o.s.w.s.DispatcherServlet           | initServletBean          : [{}] Completed initialization in 1 ms
2021-10-31T18:10:45.895Z | INFO  | o-8080-exec-1 | o.s.a.r.c.CachingConnectionFactory  | connectHostPort          : [{UUID=224F9B3A-6720-4D73-89AB-4E2EFE430400}] Attempting to connect to: localhost:5672
2021-10-31T18:10:45.936Z | INFO  | o-8080-exec-1 | o.s.a.r.c.CachingConnectionFactory  | createBareConnection     : [{UUID=224F9B3A-6720-4D73-89AB-4E2EFE430400}] Created new connection: connectionFactory#506a1372:0/SimpleConnection@58850ae5 [delegate=amqp://guest@127.0.0.1:5672/, localPort= 49813]
2021-10-31T18:10:45.981Z | INFO  | o-8080-exec-1 | rectReplyToMessageListenerContainer | actualStart              : [{UUID=224F9B3A-6720-4D73-89AB-4E2EFE430400}] Container initialized for queues: [amq.rabbitmq.reply-to]
2021-10-31T18:10:45.991Z | INFO  | o-8080-exec-1 | rectReplyToMessageListenerContainer | doConsumeFromQueue       : [{UUID=224F9B3A-6720-4D73-89AB-4E2EFE430400}] SimpleConsumer [queue=amq.rabbitmq.reply-to, index=0, consumerTag=amq.ctag-gDPspLDBqTLrXz61my5L6A identity=56937e17] started
2021-10-31T18:32:21.019Z | INFO  | o-8080-exec-5 | rectReplyToMessageListenerContainer | doConsumeFromQueue       : [{UUID=748FC545-E91C-4EBA-AEAB-0A5957270C76}] SimpleConsumer [queue=amq.rabbitmq.reply-to, index=0, consumerTag=amq.ctag-iimJIEg2dgEWgub2_SSIyg identity=2401ba17] started
2021-10-31T18:34:20.636Z | INFO  | o-8080-exec-2 | rectReplyToMessageListenerContainer | doConsumeFromQueue       : [{UUID=EA40609F-C495-4371-A1E5-B00EA57155A1}] SimpleConsumer [queue=amq.rabbitmq.reply-to, index=0, consumerTag=amq.ctag-8O5p1pp9tifqG05lCZV0Xg identity=215b928e] started
2021-10-31T18:48:30.447Z | INFO  | o-8080-exec-5 | rectReplyToMessageListenerContainer | doConsumeFromQueue       : [{UUID=491B0E44-1182-4D3F-AF91-4C2658B00A00}] SimpleConsumer [queue=amq.rabbitmq.reply-to, index=0, consumerTag=amq.ctag-KUJ9u-InjlWM7tSzVsIn0g identity=2558790d] started
2021-10-31T18:48:58.932Z | WARN  | o-8080-exec-6 | m.s.DefaultHandlerExceptionResolver | logException             : [{UUID=3EF364AB-4FF1-40F1-8E9D-977D4558AD88}] Resolved [org.springframework.web.method.annotation.MethodArgumentTypeMismatchException: Failed to convert value of type 'java.lang.String' to required type 'java.math.BigDecimal'; nested exception is java.lang.NumberFormatException: Character ! is neither a decimal digit number, decimal point, nor "e" notation exponential mark.]
