2021-10-29T22:03:10.968Z | INFO  |          main | c.w.r.RestApplication               | logStarting              : [{}] Starting RestApplication using Java 15.0.2 on Cat with PID 18360 (C:\Users\marti\Documents\wit_desafio\rest\build\classes\java\main started by marti in C:\Users\marti\Documents\wit_desafio\rest)
2021-10-29T22:03:10.975Z | INFO  |          main | c.w.r.RestApplication               | logStartupProfileInfo    : [{}] No active profile set, falling back to default profiles: default
2021-10-29T22:03:11.591Z | INFO  |          main | o.s.b.w.e.t.TomcatWebServer         | initialize               : [{}] Tomcat initialized with port(s): 8080 (http)
2021-10-29T22:03:11.608Z | INFO  |          main | o.a.c.h.Http11NioProtocol           | log                      : [{}] Initializing ProtocolHandler ["http-nio-8080"]
2021-10-29T22:03:11.613Z | INFO  |          main | o.a.c.c.StandardService             | log                      : [{}] Starting service [Tomcat]
2021-10-29T22:03:11.613Z | INFO  |          main | o.a.c.c.StandardEngine              | log                      : [{}] Starting Servlet engine: [Apache Tomcat/9.0.54]
2021-10-29T22:03:11.678Z | INFO  |          main | o.a.c.c.C.[.[.[/]                   | log                      : [{}] Initializing Spring embedded WebApplicationContext
2021-10-29T22:03:11.679Z | INFO  |          main | .ServletWebServerApplicationContext | prepareWebApplicationContext: [{}] Root WebApplicationContext: initialization completed in 674 ms
2021-10-29T22:03:11.693Z | INFO  |          main | o.s.b.w.s.RegistrationBean          | register                 : [{}] Filter loggerFilter was not registered (possibly already registered?)
2021-10-29T22:03:11.908Z | INFO  |          main | o.a.c.h.Http11NioProtocol           | log                      : [{}] Starting ProtocolHandler ["http-nio-8080"]
2021-10-29T22:03:11.943Z | INFO  |          main | o.s.b.w.e.t.TomcatWebServer         | start                    : [{}] Tomcat started on port(s): 8080 (http) with context path ''
2021-10-29T22:03:11.951Z | INFO  |          main | c.w.r.RestApplication               | logStarted               : [{}] Started RestApplication in 1.214 seconds (JVM running for 2.16)
2021-10-29T22:03:26.171Z | INFO  | o-8080-exec-1 | o.a.c.c.C.[.[.[/]                   | log                      : [{}] Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-10-29T22:03:26.172Z | INFO  | o-8080-exec-1 | o.s.w.s.DispatcherServlet           | initServletBean          : [{}] Initializing Servlet 'dispatcherServlet'
2021-10-29T22:03:26.172Z | INFO  | o-8080-exec-1 | o.s.w.s.DispatcherServlet           | initServletBean          : [{}] Completed initialization in 0 ms
2021-10-29T22:09:49.727Z | INFO  |          main | c.w.r.RestApplication               | logStarting              : [{}] Starting RestApplication using Java 15.0.2 on Cat with PID 11980 (C:\Users\marti\Documents\wit_desafio\rest\build\classes\java\main started by marti in C:\Users\marti\Documents\wit_desafio\rest)
2021-10-29T22:09:49.736Z | INFO  |          main | c.w.r.RestApplication               | logStartupProfileInfo    : [{}] No active profile set, falling back to default profiles: default
2021-10-29T22:09:50.402Z | INFO  |          main | o.s.b.w.e.t.TomcatWebServer         | initialize               : [{}] Tomcat initialized with port(s): 8080 (http)
2021-10-29T22:09:50.414Z | INFO  |          main | o.a.c.h.Http11NioProtocol           | log                      : [{}] Initializing ProtocolHandler ["http-nio-8080"]
2021-10-29T22:09:50.415Z | INFO  |          main | o.a.c.c.StandardService             | log                      : [{}] Starting service [Tomcat]
2021-10-29T22:09:50.415Z | INFO  |          main | o.a.c.c.StandardEngine              | log                      : [{}] Starting Servlet engine: [Apache Tomcat/9.0.54]
2021-10-29T22:09:50.471Z | INFO  |          main | o.a.c.c.C.[.[.[/]                   | log                      : [{}] Initializing Spring embedded WebApplicationContext
2021-10-29T22:09:50.472Z | INFO  |          main | .ServletWebServerApplicationContext | prepareWebApplicationContext: [{}] Root WebApplicationContext: initialization completed in 717 ms
2021-10-29T22:09:50.491Z | INFO  |          main | o.s.b.w.s.RegistrationBean          | register                 : [{}] Filter loggerFilter was not registered (possibly already registered?)
2021-10-29T22:09:50.689Z | INFO  |          main | o.a.c.h.Http11NioProtocol           | log                      : [{}] Starting ProtocolHandler ["http-nio-8080"]
2021-10-29T22:09:50.720Z | INFO  |          main | o.s.b.w.e.t.TomcatWebServer         | start                    : [{}] Tomcat started on port(s): 8080 (http) with context path ''
2021-10-29T22:09:50.720Z | INFO  |          main | c.w.r.RestApplication               | logStarted               : [{}] Started RestApplication in 1.258 seconds (JVM running for 2.078)
2021-10-29T22:09:54.544Z | INFO  | o-8080-exec-1 | o.a.c.c.C.[.[.[/]                   | log                      : [{}] Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-10-29T22:09:54.545Z | INFO  | o-8080-exec-1 | o.s.w.s.DispatcherServlet           | initServletBean          : [{}] Initializing Servlet 'dispatcherServlet'
2021-10-29T22:09:54.546Z | INFO  | o-8080-exec-1 | o.s.w.s.DispatcherServlet           | initServletBean          : [{}] Completed initialization in 0 ms
2021-10-29T22:09:54.564Z | INFO  | o-8080-exec-1 | c.w.r.c.CalculatorController        | sumOperation             : [{UUID=0358DE58-0B59-435E-8918-CFE2D3862995}] oi
2021-10-29T22:09:54.565Z | WARN  | o-8080-exec-1 | c.w.r.c.CalculatorController        | sumOperation             : [{UUID=0358DE58-0B59-435E-8918-CFE2D3862995}] oi
2021-10-29T22:09:54.565Z | ERROR | o-8080-exec-1 | c.w.r.c.CalculatorController        | sumOperation             : [{UUID=0358DE58-0B59-435E-8918-CFE2D3862995}] oi
2021-10-29T22:10:29.684Z | INFO  | o-8080-exec-3 | c.w.r.c.CalculatorController        | sumOperation             : [{UUID=0324671C-331E-4320-A95D-9C08DC6B1FFB}] oi
2021-10-29T22:10:29.688Z | WARN  | o-8080-exec-3 | c.w.r.c.CalculatorController        | sumOperation             : [{UUID=0324671C-331E-4320-A95D-9C08DC6B1FFB}] oi
2021-10-29T22:10:29.689Z | ERROR | o-8080-exec-3 | c.w.r.c.CalculatorController        | sumOperation             : [{UUID=0324671C-331E-4320-A95D-9C08DC6B1FFB}] oi
2021-10-29T22:27:55.075Z | INFO  |          main | c.w.r.RestApplication               | logStarting              : [{}] Starting RestApplication using Java 15.0.2 on Cat with PID 19020 (C:\Users\marti\Documents\wit_desafio\rest\build\classes\java\main started by marti in C:\Users\marti\Documents\wit_desafio\rest)
2021-10-29T22:27:55.080Z | INFO  |          main | c.w.r.RestApplication               | logStartupProfileInfo    : [{}] No active profile set, falling back to default profiles: default
2021-10-29T22:27:55.717Z | INFO  |          main | o.s.b.w.e.t.TomcatWebServer         | initialize               : [{}] Tomcat initialized with port(s): 8080 (http)
2021-10-29T22:27:55.729Z | INFO  |          main | o.a.c.h.Http11NioProtocol           | log                      : [{}] Initializing ProtocolHandler ["http-nio-8080"]
2021-10-29T22:27:55.730Z | INFO  |          main | o.a.c.c.StandardService             | log                      : [{}] Starting service [Tomcat]
2021-10-29T22:27:55.730Z | INFO  |          main | o.a.c.c.StandardEngine              | log                      : [{}] Starting Servlet engine: [Apache Tomcat/9.0.54]
2021-10-29T22:27:55.788Z | INFO  |          main | o.a.c.c.C.[.[.[/]                   | log                      : [{}] Initializing Spring embedded WebApplicationContext
2021-10-29T22:27:55.788Z | INFO  |          main | .ServletWebServerApplicationContext | prepareWebApplicationContext: [{}] Root WebApplicationContext: initialization completed in 671 ms
2021-10-29T22:27:55.808Z | INFO  |          main | o.s.b.w.s.RegistrationBean          | register                 : [{}] Filter loggerFilter was not registered (possibly already registered?)
2021-10-29T22:27:56.025Z | INFO  |          main | o.a.c.h.Http11NioProtocol           | log                      : [{}] Starting ProtocolHandler ["http-nio-8080"]
2021-10-29T22:27:56.052Z | INFO  |          main | o.s.b.w.e.t.TomcatWebServer         | start                    : [{}] Tomcat started on port(s): 8080 (http) with context path ''
2021-10-29T22:27:56.059Z | INFO  |          main | c.w.r.RestApplication               | logStarted               : [{}] Started RestApplication in 1.228 seconds (JVM running for 2.162)
2021-10-29T22:28:02.321Z | INFO  | o-8080-exec-2 | o.a.c.c.C.[.[.[/]                   | log                      : [{}] Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-10-29T22:28:02.322Z | INFO  | o-8080-exec-2 | o.s.w.s.DispatcherServlet           | initServletBean          : [{}] Initializing Servlet 'dispatcherServlet'
2021-10-29T22:28:02.323Z | INFO  | o-8080-exec-2 | o.s.w.s.DispatcherServlet           | initServletBean          : [{}] Completed initialization in 1 ms
2021-10-29T22:28:02.350Z | INFO  | o-8080-exec-2 | c.w.r.c.CalculatorController        | sumOperation             : [{UUID=002383F5-8D91-4171-B624-FFBE727B3FDF}] oi
2021-10-29T22:28:33.560Z | WARN  | o-8080-exec-3 | m.s.DefaultHandlerExceptionResolver | logException             : [{UUID=107CDBB0-B980-4BF3-ABE8-5D644223511C}] Resolved [org.springframework.web.bind.MissingServletRequestParameterException: Required request parameter 'b' for method parameter type BigDecimal is not present]
2021-10-29T22:28:57.265Z | INFO  | o-8080-exec-5 | c.w.r.c.CalculatorController        | sumOperation             : [{UUID=CB85BD97-BBF7-44AD-B048-DE54D6530D18}] oi
